Predictor;coef;Odds Ratio;std err;z;P>|z|;[0.025;0.975]
Intercept;16.5632;-;132000.0;0.0;1.0;-259000.0;259000.0
version;-0.0889;0.915;0.098;-0.903;0.366;-0.282;0.10400000000000001
tags_number;0.0627;1.065;0.042;1.483;0.138;-0.02;0.146
score;-0.0615;0.94;0.003;-18.123;0.0;-0.068;-0.055
is_best_time_to_launch_Yes;0.5174;1.678;0.156;3.307;0.001;0.21100000000000002;0.8240000000000001
is_best_day_to_launch_Yes;0.8077;2.243;0.185;4.376;0.0;0.446;1.169
is_weekend_Yes;0.1238;1.132;0.18899999999999997;0.657;0.511;-0.24600000000000002;0.493
positive_description_sentiment;0.0833;1.087;0.09;0.922;0.35600000000000004;-0.094;0.26
negative_description_sentiment;0.1267;1.135;0.10099999999999999;1.251;0.21100000000000002;-0.07200000000000001;0.325
text_description_length_Medium;-0.1198;0.887;0.215;-0.556;0.578;-0.542;0.302
text_description_length_Long;0.0216;1.022;0.20800000000000002;0.104;0.917;-0.385;0.428
sentence_length_in_the_description_Medium;0.0591;1.061;0.153;0.387;0.6990000000000001;-0.24;0.359
sentence_length_in_the_description_Long;0.28;1.323;0.47;0.596;0.551;-0.64;1.2
bullet_points_explicit_features_Yes;1.3498;3.857;0.583;2.317;0.021;0.20800000000000002;2.492
emoji_in_description_Yes;0.1942;1.214;0.332;0.585;0.5589999999999999;-0.457;0.845
tagline_length_Medium;-0.269;0.764;0.215;-1.252;0.21;-0.69;0.152
tagline_length_Long;-0.1133;0.893;0.207;-0.547;0.585;-0.52;0.293
emoji_in_tagline_Yes;-0.9516;0.386;0.307;-3.099;0.002;-15.530.000.000.000.000;-0.35
are_there_video_Yes;-0.348;0.706;0.188;-1.847;0.065;-0.7170000000000001;0.021
are_there_tweetable_images_Yes;0.0978;1.103;0.44799999999999995;0.218;0.8270000000000001;-0.7809999999999999;0.977
are_there_gif_images_Yes;0.2497;1.284;0.28800000000000003;0.866;0.387;-0.316;0.815
number_of_gif;-0.0675;0.935;0.149;-0.453;0.6509999999999999;-0.359;0.22399999999999998
offers_Yes;-0.0907;0.913;0.619;-0.146;0.884;-1.304;1.123
promo_discount_codes_Yes;0.0153;1.015;4.867;0.003;0.997;-9.524;9.555
are_there_questions_Yes;-0.3641;0.695;0.23;-15.830.000.000.000.000;0.114;-0.815;0.087
hunter_has_twitter_Yes;-0.2106;0.81;0.26899999999999996;-0.7829999999999999;0.434;-0.738;0.317
hunter_has_website_Yes;0.1122;1.119;0.243;0.461;0.645;-0.365;0.589
hunter_followers_Low;-18.8072;0.0;127000.0;-0.0;1.0;-249000.0;249000.0
hunter_followers_Medium;-21.0144;0.0;127000.0;-0.0;1.0;-249000.0;249000.0
hunter_apps_made_Low;24.9232;66681940761.045;126000.0;0.0;1.0;-246000.0;246000.0
hunter_apps_made_Medium;24.2117;32734650430.057;126000.0;0.0;1.0;-246000.0;246000.0
hunter_follows_up_on_comments_Yes;-0.3962;0.673;0.24;-1.651;0.099;-0.866;-0.07400000000000001
maker_has_twitter_Yes;0.0344;1.035;0.263;0.131;0.8959999999999999;-0.48100000000000004;0.55
maker_has_website_Yes;0.1901;1.209;0.23399999999999999;0.812;0.41700000000000004;-0.26899999999999996;0.649
maker_followers_Low;-20.6097;0.0;131000.0;-0.0;1.0;-257000.0;257000.0
maker_followers_Medium;-14.4823;0.0;131000.0;-0.0;1.0;-257000.0;257000.0
maker_started_comment_thread_Yes;1.3294;3.779;0.73;1.82;0.069;-0.102;2.761
maker_comment_ratio;0.0086;1.009;0.008;1.074;0.28300000000000003;-0.006999999999999999;0.024
hunter_is_maker_Yes;-0.0124;0.988;0.21;-0.059;0.953;-0.425;0.4
maker_positive_comment;0.3024;1.353;0.101;2.995;0.003;0.104;0.5
maker_negative_comment;-0.4616;0.63;0.141;-3.274;0.001;-0.738;-0.185
others_positive_comment;0.3147;1.37;0.125;2.518;0.012;0.07;0.56
others_negative_comment;0.0244;1.025;0.20600000000000002;0.119;0.9059999999999999;-0.379;0.428
topic_community;-0.0263;0.974;0.193;-0.136;0.892;-0.40399999999999997;0.35100000000000003
topic_creativity;0.0585;1.06;0.192;0.305;0.76;-0.317;0.434
